ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Revenue
9370,1945,PhD,Married,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,132
8908,1959,Graduation,Married,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,73
8373,1979,Basic,Together,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,30
7533,1964,Graduation,Married,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,66
2683,1969,Graduation,Married,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,65
3629,1978,Graduation,Single,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,30
10991,1960,Master,Married,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,160
5077,1979,Graduation,Together,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,93
7431,1991,PhD,Single,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,363
3267,1963,Master,Together,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,122
999,1991,Graduation,Single,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,218
9215,1980,PhD,Married,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,63
2286,1962,Graduation,Single,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,30
1592,1970,Graduation,Married,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,198
367,1978,2n Cycle,Married,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,30
5234,1967,2n Cycle,Together,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,30
9862,1969,Graduation,Together,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,30
9805,1953,Master,Together,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,88
6205,1967,Master,Single,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,30
8442,1985,Master,Married,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,30
7386,1976,Graduation,Divorced,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,30
7215,1983,Graduation,Single,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,306
1491,1965,2n Cycle,Together,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,90
11071,1984,Graduation,Single,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,124
3381,1953,Master,Married,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,30
8268,1961,PhD,Married,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,74
11051,1956,PhD,Together,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,142
8026,1952,Graduation,Married,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,30
433,1958,Master,Alone,61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,133
9597,1969,Graduation,Married,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,48
1295,1963,Graduation,Married,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,57
5290,1964,PhD,Married,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,30
1685,1967,PhD,Together,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,232
5342,1976,Basic,Divorced,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,30
9579,1959,PhD,Married,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,30
7660,1973,PhD,Alone,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,30
1461,1965,PhD,Divorced,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,30
821,1992,Master,Single,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,362
11084,1976,Master,Together,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,218
8690,1962,Graduation,Married,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,105
2937,1974,PhD,Single,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,172
9701,1988,Graduation,Together,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,30
9949,1976,Graduation,Married,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,159
10837,1975,Graduation,Married,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,30
3120,1981,Graduation,Together,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,30
5885,1973,2n Cycle,Married,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,30
4050,1966,Master,Married,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,30
3830,1953,Master,Married,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,75
7987,1969,Graduation,Married,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,98
7798,1972,2n Cycle,Together,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,30
92,1988,Graduation,Alone,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,30
7055,1952,PhD,Together,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,223
10240,1949,Graduation,Together,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,263
3025,1958,Graduation,Single,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,80
9283,1978,Graduation,Single,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,30
9970,1977,Graduation,Together,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,30
2730,1955,Graduation,Single,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,186
2795,1958,Master,Single,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,30
9260,1945,PhD,Married,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,396
8182,1984,Graduation,Married,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,30
10095,1975,PhD,Divorced,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,281
8475,1973,PhD,Married,157243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,32
4370,1966,Graduation,Together,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,30
10573,1953,Graduation,Divorced,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,48
3712,1959,Graduation,Divorced,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,82
6637,1988,Graduation,Single,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,69
3152,1957,Graduation,Together,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,30
5610,1965,Graduation,Together,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,30
6460,1982,Graduation,Married,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,30
1349,1970,Graduation,Married,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,30
1880,1959,PhD,Together,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,30
641,1967,Graduation,Single,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,30
8717,1975,PhD,Married,80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,386
10314,1948,PhD,Married,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,284
10854,1970,PhD,Married,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,34
10492,1959,Graduation,Together,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,30
6935,1951,2n Cycle,Married,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,120
7698,1976,PhD,Married,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,44
3559,1988,2n Cycle,Married,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,30
10562,1946,Master,Married,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,144
10796,1984,Master,Married,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,30
2563,1961,Basic,Married,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,30
3518,1983,Graduation,Married,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,30
5823,1970,PhD,Single,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,30
3934,1966,Graduation,Married,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,86
6982,1976,Graduation,Married,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,215
6431,1964,PhD,Married,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,30
9733,1978,Basic,Together,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,30
5602,1989,PhD,Together,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,142
7829,1900,2n Cycle,Divorced,36640,1,0,99,15,6,8,7,4,25,1,2,1,2,5,30
1324,1988,Graduation,Married,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,30
326,1973,Graduation,Married,51148,1,1,38,235,6,45,8,9,12,4,5,1,6,6,52
7224,1977,Graduation,Married,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,30
6999,1980,Master,Married,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,165
9938,1954,Graduation,Married,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,169
6422,1954,Graduation,Married,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,121
3182,1973,PhD,Single,46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,30
7300,1952,Graduation,Divorced,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,131
10424,1968,Graduation,Single,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,92
8727,1978,Graduation,Divorced,63693,0,1,63,587,43,337,42,87,54,3,11,6,9,6,171
2798,1977,PhD,Together,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,333
1030,1965,PhD,Single,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,30
624,1984,Master,Single,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,30
5176,1988,Graduation,Together,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,30
5552,1963,Master,Divorced,48721,1,1,50,81,18,113,47,13,21,6,4,2,5,6,30
868,1966,Graduation,Married,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,30
380,1954,Graduation,Divorced,64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,379
2677,1956,Graduation,Together,46097,0,1,11,72,24,68,65,4,8,5,3,1,6,4,30
6521,1954,Graduation,Together,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,214
6927,1968,PhD,Married,44377,1,1,70,224,0,30,0,0,10,8,5,1,5,8,59
2877,1974,Master,Together,46014,1,1,21,410,0,59,19,9,44,10,7,1,8,7,89
0,1985,Graduation,Married,70951,0,0,66,239,10,554,254,87,54,1,3,4,9,1,62
1584,1977,Graduation,Married,41443,1,0,79,171,7,171,25,19,89,6,8,1,5,8,44
7264,1978,2n Cycle,Single,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,30
6274,1948,Master,Married,83790,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,356
1377,1954,Master,Widow,44551,0,1,24,182,4,33,0,0,66,2,4,1,5,7,30
454,1980,Graduation,Together,69508,1,0,48,824,32,162,42,32,43,2,11,4,11,6,231
1755,1988,2n Cycle,Together,45204,1,0,93,30,11,25,29,1,18,1,1,1,4,3,52
2075,1969,Graduation,Married,72460,0,0,56,377,10,540,80,30,10,1,3,5,7,1,72
4785,1970,PhD,Together,77622,0,2,3,520,7,154,19,0,14,2,6,3,11,3,175
9076,1980,PhD,Married,30732,1,0,44,155,1,25,0,1,3,4,4,1,4,8,30
7079,1962,Graduation,Divorced,63887,0,1,38,897,23,207,15,11,92,5,9,6,12,6,220
4653,1978,Graduation,Together,42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,44
7375,1976,Graduation,Together,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,62
709,1952,Graduation,Divorced,51537,0,1,27,787,20,204,0,0,92,3,2,2,11,8,141
460,1972,PhD,Married,79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2,239
3726,1986,PhD,Together,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,30
6798,1966,Graduation,Single,37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7,30
5341,1962,2n Cycle,Divorced,81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,327
1606,1971,Graduation,Together,38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,30
9617,1951,Graduation,Single,15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,30
3233,1965,PhD,Married,62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,184
89,1975,2n Cycle,Married,22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,30
2936,1982,Master,Together,23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,39
9449,1958,PhD,Single,79761,0,1,32,415,5,124,15,35,11,1,5,2,11,3,136
7297,1973,Graduation,Single,7500,1,0,54,5,3,10,12,7,20,4,3,1,3,7,30
11004,1893,2n Cycle,Single,60182,0,1,23,8,0,5,7,0,2,1,1,0,2,4,30
313,1968,Graduation,Widow,73455,0,0,98,901,61,757,186,163,20,1,6,5,10,3,249
9940,1958,Graduation,Together,64961,0,1,97,382,114,276,75,124,38,2,6,4,4,3,97
10735,1971,Graduation,Single,22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,30
9529,1990,Graduation,Married,73687,0,0,8,559,153,503,218,13,181,1,3,9,9,2,182
6439,1958,Graduation,Married,61074,0,1,37,789,0,133,0,28,152,7,11,5,8,7,169
7411,1964,PhD,Married,31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,30
2176,1972,Graduation,Married,80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,381
9265,1953,Graduation,Married,75027,0,1,74,925,64,179,133,12,77,2,9,4,6,5,265
8867,1988,PhD,Married,67546,0,0,90,864,134,768,150,38,172,1,4,10,5,3,269
8932,1969,Master,Together,65176,0,1,57,960,28,183,220,70,70,4,9,6,6,6,259
10236,1975,Master,Single,31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8,30
6340,1985,Graduation,Single,29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,30
10089,1974,Graduation,Divorced,102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,112
2227,1958,2n Cycle,Together,26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,30
10992,1967,Graduation,Together,75702,1,1,77,650,28,353,45,42,30,5,4,6,11,8,167
5304,1974,PhD,Single,30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,30
309,1961,PhD,Together,63342,0,1,48,918,21,118,13,10,21,3,8,3,5,6,258
3406,1964,Graduation,Single,45989,0,1,97,138,33,87,28,24,12,4,3,2,7,3,30
2661,1964,Graduation,Single,18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,30
3153,1957,PhD,Single,40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,30
10264,1979,Graduation,Divorced,15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,30
1184,1968,PhD,Divorced,69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,153
4200,1970,Master,Married,44159,1,0,85,167,2,62,24,13,7,4,4,1,6,5,35
9396,1978,PhD,Married,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,30
2387,1952,Master,Together,43776,1,1,9,177,2,71,3,2,20,6,5,2,4,8,30
6690,1966,Master,Married,38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,30
1225,1963,Graduation,Married,80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,188
9703,1970,PhD,Married,38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,30
291,1970,Graduation,Married,72940,0,0,13,182,74,298,162,149,116,1,3,3,6,1,44
4557,1970,Graduation,Together,22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,30
2379,1953,Graduation,Single,69267,0,0,31,778,44,499,95,73,146,2,3,4,5,7,245
5726,1983,Master,Single,31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,30
3066,1975,PhD,Together,61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,65
6336,1960,Graduation,Married,29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,30
10967,1963,Graduation,Divorced,33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,30
2304,1963,PhD,Together,66313,0,1,86,625,7,99,10,22,7,2,6,3,12,4,175
3445,1956,Graduation,Single,60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,57
7828,1981,Master,Together,77882,0,0,29,68,129,396,188,22,15,1,3,3,5,1,30
3762,1986,PhD,Single,69867,0,0,30,196,0,512,33,130,54,1,3,5,8,1,56
4391,1968,Master,Divorced,63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,155
4669,1981,Basic,Married,24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7,30
10144,1976,Graduation,Together,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,74
8652,1946,Graduation,Together,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,44
1672,1974,PhD,Together,65640,0,1,74,204,7,149,20,15,66,1,5,1,8,2,30
8962,1975,Master,Married,44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,47
9974,1974,Graduation,Married,30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,37
10983,1952,Graduation,Together,75278,0,0,17,304,98,230,150,74,74,1,6,3,13,3,89
8148,1956,Master,Together,50898,1,1,88,285,28,242,55,114,135,13,6,2,12,5,70
10102,1966,Graduation,Widow,79946,0,0,19,395,183,565,166,141,28,1,5,11,5,3,132
4697,1949,Master,Divorced,35416,0,0,62,248,3,81,4,3,51,3,7,1,5,8,30
9262,1984,2n Cycle,Together,32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,30
7254,1969,Graduation,Together,38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,30
